Name,Scope Project1,
File,C:\Users\Joy\Hochschule Luzern\Brülhart Pascal TA.E.1801 - Testat\Scope Project.csv,
Starttime of export,130984323274520000,Donnerstag, 28. Januar 2016,06:25:27.452
Endtime of export,130984323386294938,Donnerstag, 28. Januar 2016,06:25:38.629


Name,u_d_k,Name,u_i_k,Name,u_k,Name,y_rpm,Name,ref_rpm
SampleTime[ms],1,SampleTime[ms],1,SampleTime[ms],1,SampleTime[ms],1,SampleTime[ms],1
SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True
SymbolName,MAIN.PID_1.u_d_k,SymbolName,MAIN.PID_1.u_i_k,SymbolName,MAIN.PID_1.u_k,SymbolName,MAIN.y_rpm,SymbolName,MAIN.ref_rpm
NetID,10.180.42.25.1.1,NetID,10.180.42.25.1.1,NetID,10.180.42.25.1.1,NetID,10.180.42.25.1.1,NetID,10.180.42.25.1.1
Port,851,Port,851,Port,851,Port,851,Port,851

0,0,0,5.27574253,0,-0.0578905456,0,322.2656,0,300
1,0,1,5.27522945,1,0.01828133,1,292.968719,1,300
2,0,2,5.27471638,2,-0.0578905456,2,322.2656,2,300
3,0,3,5.2742033,3,0.01828133,3,292.968719,3,300
4,0,4,5.271717,4,-0.2102343,4,380.859344,4,300
5,0,5,5.27021742,5,0.09445321,5,263.671844,5,300
6,0,6,5.27167749,6,0.01828133,6,292.968719,6,300
7,0,7,5.272151,7,0.01828133,7,292.968719,7,300
8,0,8,5.27262449,8,0.01828133,8,292.968719,8,300
9,0,9,5.27211142,9,-0.0578905456,9,322.2656,9,300
10,0,10,5.270612,10,-0.0578905456,10,322.2656,10,300
11,0,11,5.26812553,11,-0.134062424,11,351.562469,11,300
12,0,12,5.266626,12,0.01828133,12,292.968719,12,300
13,0,13,5.266113,13,-0.0578905456,13,322.2656,13,300
14,0,14,5.26559973,14,0.01828133,14,292.968719,14,300
15,0,15,5.26508665,15,-0.0578905456,15,322.2656,15,300
16,0,16,5.263587,16,-0.0578905456,16,322.2656,16,300
17,0,17,5.263074,17,0.01828133,17,292.968719,17,300
18,0,18,5.262561,18,-0.0578905456,18,322.2656,18,300
19,0,19,5.261061,19,-0.0578905456,19,322.2656,19,300
20,0,20,5.25956154,20,-0.0578905456,20,322.2656,20,300
21,0,21,5.258062,21,-0.0578905456,21,322.2656,21,300
22,0,22,5.256562,22,-0.0578905456,22,322.2656,22,300
23,0,23,5.254076,23,-0.134062424,23,351.562469,23,300
24,0,24,5.25060272,24,-0.134062424,24,351.562469,24,300
25,0,25,5.24811649,25,-0.0578905456,25,322.2656,25,300
26,0,26,5.246617,26,-0.0578905456,26,322.2656,26,300
27,0,27,5.245117,27,-0.0578905456,27,322.2656,27,300
28,0,28,5.244604,28,0.01828133,28,292.968719,28,300
29,0,29,5.244091,29,-0.0578905456,29,322.2656,29,300
30,0,30,5.24259138,30,-0.0578905456,30,322.2656,30,300
31,0,31,5.24109173,31,-0.0578905456,31,322.2656,31,300
32,0,32,5.2386055,32,-0.134062424,32,351.562469,32,300
33,0,33,5.23611927,33,-0.0578905456,33,322.2656,33,300
34,0,34,5.233633,34,-0.134062424,34,351.562469,34,300
35,0,35,5.231147,35,-0.0578905456,35,322.2656,35,300
36,0,36,5.22866058,36,-0.134062424,36,351.562469,36,300
37,0,37,5.22617435,37,-0.0578905456,37,322.2656,37,300
38,0,38,5.223688,38,-0.134062424,38,351.562469,38,300
39,0,39,5.220215,39,-0.134062424,39,351.562469,39,300
40,0,40,5.21772861,40,-0.0578905456,40,322.2656,40,300
41,0,41,5.21524239,41,-0.134062424,41,351.562469,41,300
42,0,42,5.211769,42,-0.134062424,42,351.562469,42,300
43,0,43,5.208296,43,-0.134062424,43,351.562469,43,300
44,0,44,5.20482254,44,-0.134062424,44,351.562469,44,300
45,0,45,5.20134926,45,-0.134062424,45,351.562469,45,300
46,0,46,5.197876,46,-0.134062424,46,351.562469,46,300
47,0,47,5.19538975,47,-0.0578905456,47,322.2656,47,300
48,0,48,5.19290352,48,-0.134062424,48,351.562469,48,300
49,0,49,5.18943,49,-0.134062424,49,351.562469,49,300
50,0,50,5.185957,50,-0.134062424,50,351.562469,50,300
51,0,51,5.181497,51,-0.2102343,51,380.859344,51,300
52,0,52,5.17703724,52,-0.134062424,52,351.562469,52,300
53,0,53,5.173564,53,-0.134062424,53,351.562469,53,300
54,0,54,5.16811752,54,-0.286406159,54,410.156219,54,300
55,0,55,5.16365767,55,-0.0578905456,55,322.2656,55,300
56,0,56,5.16117144,56,-0.134062424,56,351.562469,56,300
57,0,57,5.157698,57,-0.134062424,57,351.562469,57,300
58,0,58,5.154225,58,-0.134062424,58,351.562469,58,300
59,0,59,5.15075159,59,-0.134062424,59,351.562469,59,300
60,0,60,5.14629173,60,-0.2102343,60,380.859344,60,300
61,0,61,5.13985872,61,-0.286406159,61,410.156219,61,300
62,0,62,5.135399,62,-0.0578905456,62,322.2656,62,300
63,0,63,5.133899,63,-0.0578905456,63,322.2656,63,300
64,0,64,5.131413,64,-0.134062424,64,351.562469,64,300
65,0,65,5.126953,65,-0.2102343,65,380.859344,65,300
66,0,66,5.12249327,66,-0.134062424,66,351.562469,66,300
67,0,67,5.11803341,67,-0.2102343,67,380.859344,67,300
68,0,68,5.11357355,68,-0.134062424,68,351.562469,68,300
69,0,69,5.11010027,69,-0.134062424,69,351.562469,69,300
70,0,70,5.106627,70,-0.134062424,70,351.562469,70,300
71,0,71,5.10315371,71,-0.134062424,71,351.562469,71,300
72,0,72,5.09968042,72,-0.134062424,72,351.562469,72,300
73,0,73,5.096207,73,-0.134062424,73,351.562469,73,300
74,0,74,5.093721,74,-0.0578905456,74,322.2656,74,300
75,0,75,5.09123468,75,-0.134062424,75,351.562469,75,300
76,0,76,5.0877614,76,-0.134062424,76,351.562469,76,300
77,0,77,5.084288,77,-0.134062424,77,351.562469,77,300
78,0,78,5.081802,78,-0.0578905456,78,322.2656,78,300
79,0,79,5.08030224,79,-0.0578905456,79,322.2656,79,300
80,0,80,5.077816,80,-0.134062424,80,351.562469,80,300
81,0,81,5.07533,81,-0.0578905456,81,322.2656,81,300
82,0,82,5.07383,82,-0.0578905456,82,322.2656,82,300
83,0,83,5.071344,83,-0.134062424,83,351.562469,83,300
84,0,84,5.06885767,84,-0.0578905456,84,322.2656,84,300
85,0,85,5.067358,85,-0.0578905456,85,322.2656,85,300
86,0,86,5.06585836,86,-0.0578905456,86,322.2656,86,300
87,0,87,5.06435871,87,-0.0578905456,87,322.2656,87,300
88,0,88,5.062859,88,-0.0578905456,88,322.2656,88,300
89,0,89,5.062346,89,0.01828133,89,292.968719,89,300
90,0,90,5.061833,90,-0.0578905456,90,322.2656,90,300
91,0,91,5.06132,91,0.01828133,91,292.968719,91,300
92,0,92,5.06080675,92,-0.0578905456,92,322.2656,92,300
93,0,93,5.06029367,93,0.01828133,93,292.968719,93,300
94,0,94,5.0597806,94,-0.0578905456,94,322.2656,94,300
95,0,95,5.05926752,95,0.01828133,95,292.968719,95,300
96,0,96,5.05875444,96,-0.0578905456,96,322.2656,96,300
97,0,97,5.059228,97,0.09445321,97,263.671844,97,300
98,0,98,5.060688,98,0.01828133,98,292.968719,98,300
99,0,99,5.06116152,99,0.01828133,99,292.968719,99,300
100,0,100,5.061635,100,0.01828133,100,292.968719,100,300
101,0,101,5.06210852,101,0.01828133,101,292.968719,101,300
102,0,102,5.062582,102,0.01828133,102,292.968719,102,300
103,0,103,5.06305552,103,0.01828133,103,292.968719,103,300
104,0,104,5.063529,104,0.01828133,104,292.968719,104,300
105,0,105,5.064989,105,0.09445321,105,263.671844,105,300
106,0,106,5.066449,106,0.01828133,106,292.968719,106,300
107,0,107,5.06790924,107,0.09445321,107,263.671844,107,300
108,0,108,5.06936932,108,0.01828133,108,292.968719,108,300
109,0,109,5.07082939,109,0.09445321,109,263.671844,109,300
110,0,110,5.07327652,110,0.09445321,110,263.671844,110,300
